local url;name;min price;max price;rating;latitude;longitude;category;time duration
/Restaurant_Review-g303506-d10825776-Reviews-Brasserie_Cidade_Nova-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Brasserie Cidade Nova;26.0;89.0;4.0;-22.91182;-43.20182;restaurant;1.0
/Restaurant_Review-g303506-d17328767-Reviews-Chez_s_Fusion_Kitchens-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Chez's Fusion Kitchens;24.0;89.0;4.5;-23.01755;-43.45913;restaurant;1.0
/Hotel_Review-g303506-d305632-Reviews-Ipanema_Inn-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Ipanema Inn;466.0;868.0;4.5;-22.985762;-43.207367;hotels;0.0
/Hotel_Review-g303506-d305608-Reviews-Praia_Ipanema_Hotel-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Praia Ipanema Hotel;519.0;863.0;4.0;-22.985878;-43.21442;hotels;0.0
/Restaurant_Review-g303506-d7083728-Reviews-Bistro_Villarino-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Bistro Villarino;42.0;86.0;4.0;-22.908241;-43.176426;restaurant;1.0
/Restaurant_Review-g303506-d3721522-Reviews-Restaurante_Mizu-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Restaurante Mizu;50.0;85.0;4.0;-22.941898;-43.180958;restaurant;1.0
/Restaurant_Review-g303506-d15065340-Reviews-Du_Bronca_Comida_Japonesa-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Du Bronca Comida Japonesa;8.0;85.0;3.5;-22.9677;-43.18837;restaurant;1.0
/Restaurant_Review-g303506-d982453-Reviews-Olympe-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Olympe;337.0;842.0;4.5;-22.961243;-43.20672;restaurant;1.0
/Hotel_Review-g303506-d506898-Reviews-Own_Ipanema_Visconti-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Own Ipanema Visconti;431.0;840.0;4.0;-22.985203;-43.206726;hotels;0.0
/Restaurant_Review-g303506-d13374412-Reviews-L_Eclair_Shop-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;L'Eclair Shop;7.0;84.0;5.0;-22.931425;-43.178825;restaurant;1.0
/Restaurant_Review-g303506-d949568-Reviews-Bar_e_Restaurante_Hipodromo-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Bar e Restaurante Hipodromo;56.0;84.0;4.0;-22.973896;-43.227116;restaurant;1.0
/Restaurant_Review-g303506-d1058939-Reviews-Manekineko-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Manekineko;56.0;84.0;4.0;-22.983124;-43.22619;restaurant;1.0
/Restaurant_Review-g303506-d1996422-Reviews-Carretao_Lido_Churrascaria-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Carretao Lido Churrascaria;59.0;84.0;4.0;-22.96553;-43.17662;restaurant;1.0
/Restaurant_Review-g303506-d949538-Reviews-Cervantes-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Cervantes;56.0;84.0;4.0;-22.962366;-43.175735;restaurant;1.0
/Restaurant_Review-g303506-d13308997-Reviews-Pappa_Jack-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Pappa Jack;19.0;84.0;4.0;-22.985052;-43.225838;restaurant;1.0
/Restaurant_Review-g303506-d11947830-Reviews-Tragga_Vogue_Square-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Tragga Vogue Square;280.0;839.0;4.0;-23.001379;-43.396137;restaurant;1.0
/Hotel_Review-g303506-d2523262-Reviews-Ocean_Inn_Botafogo-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Ocean Inn Botafogo;341.0;834.0;3.0;-22.95418;-43.186756;hotels;0.0
/Restaurant_Review-g303506-d1011403-Reviews-Esch_Cafe-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Esch Cafe;207.0;829.0;4.5;-22.985348;-43.228355;restaurant;1.0
/Hotel_Review-g303506-d6429604-Reviews-Ipanema_Hostel_Club-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Ipanema Hostel Club;139.0;825.0;2.5;-22.98558;-43.20554;hotels;0.0
/Hotel_Review-g303506-d8484782-Reviews-Arena_Leme_Hotel-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Arena Leme Hotel;416.0;821.0;4.5;-22.96225;-43.166637;hotels;0.0
/Restaurant_Review-g303506-d19412127-Reviews-Iraja_Redux-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Iraja Redux;26.0;82.0;3.5;-22.983463;-43.218853;restaurant;1.0
